created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 13 11:06:38 +0000 2023;1724020942731456819;"Bereaved family members bid a final farewell for loved ones in the yard of Nasser Hospital in Khan Yunis, south of the #Gaza Strip, amid nonstop Israeli genocide of Palestinians, including the southern area of Gaza which Israel claims to be a safe zone. https://t.co/BWFAzzf1hL";40;54;1383;1596;en;524869533;1724020942731456819;QudsNen;https://twitter.com/QudsNen/status/1724020942731456819
Mon Nov 13 11:06:23 +0000 2023;1724020880119124346;"noah schnapp thinks that "zionism is sexy" and has been reposting ben shapiro and islamophobic videos. he's a privileged white rat who is proud of genocide and colonialism. he also isn't the only zionist working on stranger things, boycott the entire show‼️";2;14;155;613;en;1659508968623083520;1724020880119124346;rickysqrwoaini;https://twitter.com/rickysqrwoaini/status/1724020880119124346
Mon Nov 13 11:06:03 +0000 2023;1724020796635709771;"Why is @PatsKarvelas interrogating the only Palestinian on the panel when it's Palestinians who are being killed in genocide, occupied, subjugated? #qanda";5;69;195;814;en;474467264;1724020796635709771;RandaAFattah;https://twitter.com/RandaAFattah/status/1724020796635709771
Mon Nov 13 11:04:19 +0000 2023;1724020361853902936;"I didn't see any antisemitic slogans on the huge march on Saturday  Let's not be distracted: let's talk about the URGENT issue of LIFE &amp  DEATH for innocents in Gaza. We need to stop the ongoing GENOCIDE IMMEDIATELY";7;33;323;669;en;893568606;1724020361853902936;TomLondon6;https://twitter.com/TomLondon6/status/1724020361853902936
Mon Nov 13 11:03:26 +0000 2023;1724020140348756043;"I think I'm gonna take a break from fandom related socmed for a bit something personal just happened to my family ..but I will still continue to rt/post about the genocide in Palestine";1;13;7;500;en;1327252637213929473;1724020140348756043;longdaytogo;https://twitter.com/longdaytogo/status/1724020140348756043
Mon Nov 13 11:01:47 +0000 2023;1724019723191349502;"fuck russia fuck sm fuck shinee fuck everyone who supports russia fuck everyone who ignores the genocide of ukrainian people fuck everyone who is okay with it fuck everyone who thinks that we don't matter fuck everyone who thinks that we don't deserve any sympathy and help";4;2;76;282;en;1501831926017101825;1724019723191349502;nchh_kimbu;https://twitter.com/nchh_kimbu/status/1724019723191349502
Mon Nov 13 10:59:23 +0000 2023;1724019121049018401;"Nothing says “In the name of love” like committing genocide against 2.2 million trapped Palestinians https://t.co/n1vwvYHFKt";3;5;73;226;en;19912781;1724019121049018401;Remroum;https://twitter.com/Remroum/status/1724019121049018401
Mon Nov 13 10:58:34 +0000 2023;1724018914936365057;"Palestinian children in Nablus call for boycott of these brands for their support of the ongoing Israeli genocide campaign in Gaza. https://t.co/LYOs5SbRpC";293;221;7630;10958;en;524869533;1724018914936365057;QudsNen;https://twitter.com/QudsNen/status/1724018914936365057
Mon Nov 13 10:57:01 +0000 2023;1724018525784699196;"Turns out the G in LGBTQ stands for Genocide.  Please don’t fall for this Islamophobic bullsh*t. I am Muslim and proud, and I am also gay. Many may not agree, but there are many more that continue to love me. Stop the genocide. IDF are fascists.";1;5;31;188;en;976029015667630080;1724018525784699196;shahmiruk;https://twitter.com/shahmiruk/status/1724018525784699196
Mon Nov 13 10:54:18 +0000 2023;1724017840834085033;"@DougAMacgregor Many American Christians can feel free to turn in their cards.  They've chosen genocìde by the Christ-rejecters over their own brethren.";3;30;79;633;en;965451112395415552;1724017276762902754;SamParkerSenate;https://twitter.com/SamParkerSenate/status/1724017840834085033
Mon Nov 13 10:54:07 +0000 2023;1724017793849553396;"How dare Patricia ask nasser if he thinks hamas is a terror org while he is talking about the genocide of Palestinians and not one question to leibler on his support for the Palestinian death #QandA";3;31;105;467;en;1480347041771388929;1724017793849553396;amalfalastini;https://twitter.com/amalfalastini/status/1724017793849553396
Mon Nov 13 10:51:27 +0000 2023;1724017125092626488;"In case anyone was wondering forced sterilization is a recognized element of genocide and never ever a legitimate tool of the state";1;4;43;196;en;2849102111;1724017125092626488;QueenMab87;https://twitter.com/QueenMab87/status/1724017125092626488
