"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Wed Dec 13 10:32:08 +0000 2023","1734883897048281403","bjir mng gratis inimah rill cuy alias lu keren bat bang pake baju erigo didepan orgnya WKWKW💀😇 https://t.co/T2POvO7tW5","0","0","1","2","in","1692952132537012224","1734883897048281403","arrassjc_","https://twitter.com/arrassjc_/status/1734883897048281403","https://pbs.twimg.com/ext_tw_video_thumb/1734883850998964224/pu/img/xjqJeIihVPo-tlnP.jpg","Bekasi Utara, Indonesia"
"Tue Dec 12 05:15:42 +0000 2023","1734441877859168373","Erigo kemeja series 44rb aja  https://t.co/sAFnsr0feA https://t.co/ejCobF2dCY","0","0","1","2","in","2384473045","1734441877859168373","pemburupromo28","https://twitter.com/pemburupromo28/status/1734441877859168373","https://pbs.twimg.com/media/GBH5sJ6aoAA03jg.jpg",""
"Thu Dec 07 18:29:42 +0000 2023","1732829755823825208","WTT Photopack Hoodie Erigo Vol 5:  Have/ Punya: Gita &amp; Indah Want/ Mau: Shani  2 PP trade/ tukar dengan 1 PP.  Minat? Boleh gedor DM. https://t.co/67YW1UE2HH","0","1","4","11","in","51422730","1732829755823825208","agnescia","https://twitter.com/agnescia/status/1732829755823825208","https://pbs.twimg.com/media/GAw_eMAbIAAiiKG.jpg",""
"Fri Dec 08 14:53:50 +0000 2023","1733137817457574114","Habis erigo lanjut nonton sts adiknya 🤍 https://t.co/oZowUiRsdg","0","0","0","0","in","1623529248819650562","1733137817457574114","UserNot0987","https://twitter.com/UserNot0987/status/1733137817457574114","https://pbs.twimg.com/media/GA1Xp0tb0AABEGa.jpg",""
"Tue Dec 12 13:21:35 +0000 2023","1734564154139394290","gw ketinggalan live erigo GA SIH","0","1","0","2","in","1546807981291229185","1734564154139394290","menggencet","https://twitter.com/menggencet/status/1734564154139394290","",""
"Tue Dec 12 09:28:17 +0000 2023","1734505442179776712","hp buat nonton erigo laptop buat nonton IDN TV buat nonton shoope full jeketi wkwkwk","0","2","0","8","in","1481625187942813700","1734505442179776712","keysaasa_","https://twitter.com/keysaasa_/status/1734505442179776712","",""
"Tue Dec 12 14:17:51 +0000 2023","1734578313904152678","POV : isi galeri setelah mantengin live shopee erigo x jkt48 😔 @erigostore https://t.co/o41qKn74Qo","0","0","0","0","in","1069813576972427264","1734578313904152678","JakOjakkk","https://twitter.com/JakOjakkk/status/1734578313904152678","https://pbs.twimg.com/media/GBJ1yJhbcAA8shY.jpg","Bandung"
"Sat Dec 09 18:11:35 +0000 2023","1733549971629277377","tadi di Kings erigo lagi diskon 70% gaes","0","3","0","0","in","1461002897961803781","1733549971629277377","dysrl1","https://twitter.com/dysrl1/status/1733549971629277377","",""
"Tue Dec 12 14:04:58 +0000 2023","1734575073200390349","knp ya tiap live erigo gw selalu aja kena terus 😭😭😭 https://t.co/dU4Rt6YuHD","0","0","1","1","in","1697525495389413376","1734575073200390349","adelnim","https://twitter.com/adelnim/status/1734575073200390349","https://pbs.twimg.com/ext_tw_video_thumb/1734563631667507200/pu/img/If1gZrMyiYqVN4p4.jpg","𝐋𝐚𝐯𝐢𝐝𝐚𝐬"
"Tue Dec 12 14:22:40 +0000 2023","1734579526959821101","bjir erigo tweet foto dedel pict langsung dihapus wkaka","1","1","0","0","in","1460815325612572676","1734579526959821101","suchawota","https://twitter.com/suchawota/status/1734579526959821101","",""
"Thu Dec 07 05:13:25 +0000 2023","1732629363718570213","wadu. digalakin seharusnya takut. kok aku malah sayang ya😔. alias terima kasih min erigo tercimta🫶🏻","0","2","8","501","in","1545743376108032000","1732629363718570213","cinanazs","https://twitter.com/cinanazs/status/1732629363718570213","","Jakarta Capital Region"
