"created_at,""id_str"",""full_text"",""quote_count"",""reply_count"",""retweet_count"",""favorite_count"",""lang"",""user_id_str"",""conversation_id_str"",""username"",""tweet_url"",""image_url"",""location""";;;
"Sun Dec 10 08:26:58 +0000 2023,""1733765235507597777"",""Sore ini mau ke percetakan Kaos.. Mau CETAK 1000 kaos #GasssGanjarMahfud … Mau lihat bahan dan kualitas  kami gak mau baju #GasssGanjarMahfud cuman di pake buat musim capres cawapres saja  tapi bisa di pake seterusnya apa lagi buat ngedate doi yang bapaknya pendukung capres… https://t.co/2Tcg8Iao6V"",""9"",""150"",""155"",""646"",""in"",""1394912376814665730"",""1733765235507597777"",""BangPakat"",""https://twitter.com/BangPakat/status/1733765235507597777"",""https://pbs.twimg.com/media/GA-SSlLaQAA1UMy.jpg"",""PALANGKARAYA""";;;
"Tue Dec 12 03:35:03 +0000 2023,""1734416547438047667"",""Saatnya Untuk Rock N Roll  💥 BoM 💥  📢Penampakan Mujahidin yg Muncul dari Balik Reruntuhan Memakai Baju Kaos &amp";" Celana Jeans yang Sobek Saat akan Mengirim Pasukan Tikus Zionis Ke Neraka‼️ https://t.co/So81uAVOje"",""34"",""165"",""3803"",""16576"",""in"",""721590341669748736"",""1734416547438047667"",""OmJ_JeNggot"",""https://twitter.com/OmJ_JeNggot/status/1734416547438047667"",""https://pbs.twimg.com/media/GBHiqHcaUAAtJZY.jpg"",""Disini""";;
"Thu Dec 14 09:26:06 +0000 2023,""1735229667555295293"",""4. Belanja bulanan sambil ajak Milo jalan-jalan   ga lupa pake kaos kaki hijau pilihan ayah 💚💛 https://t.co/E32r6nCb9j"",""0"",""1"",""3"",""76"",""in"",""1351844675309588480"",""1735228330172178721"",""thaciland"",""https://twitter.com/thaciland/status/1735229667555295293"",""https://pbs.twimg.com/media/GBTGINGbMAAccjl.jpg"",""Mile & Apo’s Daughter 💚💛""";;;
"Thu Dec 14 16:19:56 +0000 2023,""1735333811771306435"",""Hey mas² kaos item  anda kenapa senyam senyum begitu?🫵🏻☺️ https://t.co/uq8un3JJOv"",""0"",""0"",""15"",""166"",""in"",""1415596827999539204"",""1735333811771306435"",""justmbak2biasa"",""https://twitter.com/justmbak2biasa/status/1735333811771306435"",""https://pbs.twimg.com/ext_tw_video_thumb/1735333767517175808/pu/img/i7NG_9OaPG3-Lf8y.jpg"",""""";;;
"Fri Dec 08 16:56:31 +0000 2023,""1733168691418972664"",""gawattt.... gw makin naksir... sm mas kaos item bertopi.... https://t.co/nQE3FXwYab"",""0"",""1"",""2"",""6"",""in"",""1675372657309798401"",""1733168691418972664"",""valssyunoo"",""https://twitter.com/valssyunoo/status/1733168691418972664"",""https://pbs.twimg.com/ext_tw_video_thumb/1733057924388552704/pu/img/pmdeHGbwYBC4_24_.jpg"",""""";;;
"Sun Dec 10 01:00:51 +0000 2023,""1733652967054840287"",""Kenapa pejabat pejabat yang mencalonkan diri ikut pilpres tidak punya nyali mengundurkan diri.  Ealah.. Kan bisa memanfaatkan fasilitas negara pakai uang rakyat sekalian nyambi kampanye dan buang² kaos partai. Mumpung ada kesempatan.. Sikaat.  Pengecut https://t.co/mql58HFo5G"",""6"",""24"",""491"",""407"",""in"",""1182582278"",""1733652967054840287"",""HukumDan"",""https://twitter.com/HukumDan/status/1733652967054840287"",""https://pbs.twimg.com/media/GA8sL3RbcAAMl2D.jpg"",""""";;;
"Wed Dec 13 15:47:46 +0000 2023,""1734963330861900216"",""Wah kacau ini wkwkwkwk 🤣🤣🤣 Lumayan dapet kaos dan nasi box https://t.co/WJxUw0KnS6"",""6"",""9"",""19"",""37"",""in"",""1369949963690549248"",""1734963330861900216"",""never_alonely"",""https://twitter.com/never_alonely/status/1734963330861900216"",""https://pbs.twimg.com/ext_tw_video_thumb/1734963272011657216/pu/img/-6gkv47-259RDDSy.jpg"",""""";;;
"Thu Dec 07 03:02:31 +0000 2023,""1732596421277446395"",""Apa giat kita malam ini? Bagi bagi kaos #GasssGanjarMahfud lah… Masak bagi bagi Asam Kamal 😆  Bang @Twillight_Loid  Malam kita jumpa ya 🤟 https://t.co/JZ47caOU4Q"",""1"",""35"",""61"",""369"",""in"",""1394912376814665730"",""1732596421277446395"",""BangPakat"",""https://twitter.com/BangPakat/status/1732596421277446395"",""https://pbs.twimg.com/media/GAtrQm2bUAApam7.jpg"",""PALANGKARAYA""";;;
"Thu Dec 07 04:30:58 +0000 2023,""1732618679924474207"",""Ini warga Wadas Asli atau Warga Luar yang cuma dibagikan baju kaos?🤔 https://t.co/TZjjsWwbeq"",""3"",""29"",""16"",""60"",""in"",""817600858565197825"",""1732618679924474207"",""Muhammad_Saewad"",""https://twitter.com/Muhammad_Saewad/status/1732618679924474207"",""https://pbs.twimg.com/media/GAt_geFbUAEI9Es.jpg"",""Jawa Barat, Indonesia""";;;
"Thu Dec 07 04:34:43 +0000 2023,""1732619625626804390"",""Buat organisasi  panitia  desainer jaket  kaos  poster  spanduk  admin sosial media kampus atau mahasiswa yang sedang mengerjakan laporan  skripsi  diktat  panduan  dan sebagainya.    Barangkali ada yang butuh Panduan Penggunaan Logo UI (Official dari UI) cek link di bawah ⬇ https://t.co/saCvskXWv2"",""34"",""3"",""131"",""1229"",""in"",""1294530783990779905"",""1732619625626804390"",""eugeniusmario"",""https://twitter.com/eugeniusmario/status/1732619625626804390"",""https://pbs.twimg.com/media/GAuAJGybUAAjFLf.jpg"",""Fasilkom UI""";;;
